parameter,L_bin,MLT_bin,value
H_f,4,5,1.0101494879981296
H_f,4,5,0.9832561720139226
H_f,4,5,0.99523196281173
H_f,4,5,1.0055678688263539
H_f,4,5,1.0095439330811353
H_f,4,5,1.011432629837164
H_f,4,5,0.9978648951195127
H_f,4,5,0.9859285959036912
H_f,4,5,0.9857852594212593
H_f,4,5,0.9850075473595209
H_f,4,5,0.9943876752288628
H_f,4,5,1.0050806122182077
H_f,4,5,0.9967456610671664
H_f,4,5,0.9879891601843598
H_f,4,5,0.9890378882415473
H_f,4,5,0.9867250332652026
H_f,4,5,0.9920822719205065
H_f,4,5,0.9964856957611992
H_f,4,5,1.0049447513124656
H_f,4,5,1.0130588921009565
H_f,4,5,1.0082301837692982
H_f,4,5,1.0012609114169289
H_f,4,5,0.9902569195359405
H_f,4,5,0.9826831279068072
H_f,4,5,1.0016041319346203
H_f,4,5,1.009510939719724
H_f,4,5,1.0056434557361666
H_f,4,5,1.0022569478472596
H_f,4,5,1.005879172281189
H_f,4,5,1.0114943114194141
H_f,4,5,0.9987509487857533
H_f,4,5,0.9801402965567644
H_f,4,5,1.0017739688360954
H_f,4,5,1.0337960582015906
H_f,4,5,1.0126267347910787
H_f,4,5,0.9895005239535166
H_f,4,5,0.9937521381018288
H_f,4,5,0.9989954524553035
H_f,4,5,0.9801476169516643
H_f,4,5,0.96985171888861
H_f,4,5,0.9994222044093662
H_f,4,5,1.0145257439046
H_f,4,5,0.9970924923518159
H_f,4,5,0.9939957833070494
H_f,4,5,1.0004334862111075
H_f,4,5,0.9973365906452691
H_f,4,5,1.0049981740776752
H_f,4,5,1.0188064902124379
H_f,4,5,1.0013499130826662
H_f,4,5,0.9787257230341793
H_f,4,5,0.9874827951746743
H_f,4,5,1.0044736084498627
H_f,4,5,1.0008052371582539
H_f,4,5,0.9980530077403346
H_f,4,5,1.0100739201895539
H_f,4,5,1.0320512655013356
H_f,4,5,0.9896911504170541
H_f,4,5,0.9331821667751302
H_f,4,5,0.9652574201069575
H_f,4,5,0.9957730082456038
H_f,4,5,0.9893967230092657
H_f,4,5,0.9770458405478517
H_f,4,5,1.0041727121428947
H_f,4,5,1.0291616727593107
H_f,4,5,1.0176464523226005
H_f,4,5,1.0029824127398586
H_f,4,5,0.9967830275538321
H_f,4,5,1.001972943212384
H_f,4,5,0.9879980254215482
H_f,4,5,0.974370438597268
H_f,4,5,0.994086611222513
H_f,4,5,1.0108890736636678
H_f,4,5,0.9950143239154011
H_f,4,5,0.9779675907803537
H_f,4,5,0.9936050897690569
H_f,4,5,1.0027395806577402
H_f,4,5,0.9993607069673152
H_f,4,5,1.005880706884882
H_f,4,5,1.0086297382805394
H_f,4,5,1.0048271494579195
H_f,4,5,1.0000382415831395
H_f,4,5,0.9941037227836232
H_f,4,5,0.9837115191435157
H_f,4,5,0.9722786660208177
H_f,4,5,0.994311700355438
H_f,4,5,1.0189936490124134
H_f,4,5,1.0064543706072737
H_f,4,5,0.9961782622327616
H_f,4,5,1.0021471404634787
H_f,4,5,1.009767662421847
H_f,4,5,0.9769216253801332
H_f,4,5,0.9492306522293268
H_f,4,5,0.9925656960509559
H_f,4,5,1.0269421507910577
H_f,4,5,0.9963741951539974
H_f,4,5,0.9651383547191758
H_f,4,5,0.9859990618622043
H_f,4,5,1.025682731682561
H_f,4,5,1.0178558232534132
H_f,4,5,1.0033359001501103
H_f,4,5,1.027727996628994
H_f,4,5,1.0523823072957212
H_f,4,5,0.9988204584525621
H_f,4,5,0.9342794178017321
H_f,4,5,0.9652574651689156
H_f,4,5,1.0054855745578295
H_f,4,5,0.9883129497607144
H_f,4,5,0.9727555425833058
H_f,4,5,0.9533096976940515
H_f,4,5,1.0244538748889744
H_f,4,5,1.1013276493163702
H_f,4,5,0.9911985654671508
H_f,4,5,0.8912597141662539
H_f,4,5,0.9617920417311707
H_f,4,5,1.0124567460137293
H_f,4,5,1.0031951222891164
H_f,4,5,0.9999030589066569
H_f,4,5,1.026025457983409
H_f,4,5,1.0721196691233514
H_f,4,5,1.0181856777231741
H_f,4,5,0.9494455118422631
H_f,4,5,0.9868058269360485
H_f,4,5,1.0261523938692856
H_f,4,5,1.0194058336115146
H_f,4,5,1.027291867055958
H_f,4,5,0.9865108558844465
H_f,4,5,0.9426787067389097
H_f,4,5,0.960112628010555
H_f,4,5,0.9772014216686392
H_f,4,5,1.000438618989801
H_f,4,5,1.0139187617332004
H_f,4,5,1.0294287941789109
H_f,4,5,1.051399284492339
H_f,4,5,1.0040913851041093
H_f,4,5,0.9486240314884186
H_f,4,5,0.9840381827035622
H_f,4,5,1.0167741777020454
H_f,4,5,0.9498760814021533
H_f,4,5,0.8749286707779634
H_f,4,5,0.9789370526603233
H_f,4,5,1.098299659391633
H_f,4,5,1.0216055944466793
H_f,4,5,0.9515065341984942
H_f,4,5,0.9902267179253933
H_f,4,5,1.0384312686773796
H_f,4,5,0.9735437325792893
H_f,4,5,0.9085505891871132
H_f,4,5,0.9755262402174962
H_f,4,5,1.0245099532863133
